NOFISH,LIVEBAIT,CAMPER,PERSONS,CHILD,XB,ZG,COUNT
0,1,1,4,1,5.352674007,-1.472992539,14
0,1,1,1,0,-0.711813927,3.02047801,0
0,1,1,4,0,3.484046221,2.355652809,32
1,0,0,3,2,2.400906324,-3.086473703,0
1,0,1,4,0,0.376028478,2.676077843,1
1,1,0,4,2,1.085056424,-2.654790401,0
0,1,1,1,0,-1.067198753,2.133044958,0
0,1,1,2,1,0.322997063,0.303436488,0
0,1,0,1,0,0.501066327,1.553161621,1
0,1,1,2,1,2.011488438,0.627036452,5
0,1,0,2,1,0.95714736,-2.05817461,0
0,1,1,2,1,1.114434004,0.284732074,1
0,1,1,2,1,-0.673830032,-0.708101988,0
0,1,1,4,0,3.196705818,1.515483379,22
1,0,0,2,0,-0.3863208,2.079587936,0
0,1,1,3,0,2.718511581,2.629312992,15
1,0,1,1,0,-1.269290566,4.179599762,0
0,1,1,1,0,-1.087805986,2.122612953,0
0,1,1,1,0,-0.984578311,1.351520896,0
1,1,1,4,1,1.872467756,1.261176825,5
1,1,1,1,0,1.547955513,1.628988385,4
0,1,0,2,0,1.004094243,1.083624601,2
0,1,1,2,1,-0.165202618,2.095250368,0
0,1,0,2,1,1.471645236,-0.073470898,2
0,1,1,4,0,3.489336014,2.547997475,32
0,1,0,4,3,1.885775805,-4.232519627,0
0,1,1,1,0,-2.272530079,1.600753188,0
0,1,0,1,0,0.613840997,1.111755967,1
1,1,0,3,2,2.878997564,-2.766067028,0
1,1,1,1,0,-0.944848835,2.011607885,0
0,1,1,2,1,0.820035219,-1.285437942,0
0,1,1,3,0,2.088183641,2.268748283,7
0,1,0,4,3,2.16530633,-5.035178185,0
1,0,0,4,2,0.55752635,-2.696651697,0
0,1,1,3,2,-0.627695501,-3.22431159,0
1,0,1,1,0,-3.275050163,0.913391829,0
0,1,0,2,0,0.307397574,-0.431482762,0
0,1,0,3,2,0.459303737,-3.140106678,0
1,1,1,1,0,-0.188099161,3.267445326,0
0,1,0,2,1,-0.19742322,-0.238331914,0
0,1,0,4,0,0.901133239,1.39392221,2
0,1,1,4,1,2.22973752,-0.410112113,3
1,1,0,2,1,1.150078893,-0.320476443,1
0,1,1,3,0,1.716530919,2.654059887,5
0,1,0,1,0,-0.465738386,0.246082529,0
0,1,1,1,0,1.019573331,1.718844175,2
1,0,0,3,1,1.867413759,-0.54847914,1
1,0,0,4,1,0.714378536,-2.550681114,0
1,1,1,1,0,0.044008121,2.26295495,1
0,1,1,4,0,5.005039692,3.572134256,149
0,1,1,3,2,2.461556435,-2.769872427,0
0,1,1,3,1,1.570416808,-0.390616268,1
0,1,0,2,0,-1.490852475,0.088999458,0
0,1,1,3,0,-0.865133345,0.972079754,0
0,1,0,2,1,0.833803177,0.023357686,1
0,1,0,4,2,2.208499908,-1.734373331,0
0,1,1,3,1,1.633207917,-1.501252651,0
0,1,0,4,2,1.524009705,-4.324279785,0
1,0,0,4,0,2.491374731,-0.722057521,2
0,1,1,2,0,1.084769011,2.963002682,2
0,1,0,4,0,3.59467721,0.860208869,29
0,1,1,1,0,1.128834605,2.060700417,3
1,0,1,2,0,-0.385939926,2.26627636,0
0,1,0,4,2,2.21350956,-2.06809473,0
1,0,0,3,0,2.518778086,-0.110921405,5
0,1,1,2,0,0.011589484,-0.33921802,0
0,1,0,4,1,3.29880619,-2.671430111,0
0,1,1,1,0,-0.258302957,0.714798093,0
0,1,0,3,1,0.931161046,-1.925231814,0
0,1,1,4,1,3.234340668,-1.934120536,0
0,1,1,4,1,0.566562116,1.361151457,1
0,1,1,1,0,1.974095106,3.178084135,7
0,1,1,2,0,0.109922774,2.124498606,1
0,1,0,1,0,-1.052196026,-1.837709427,0
1,0,0,4,1,1.193210363,0.732807636,2
0,1,0,3,2,0.351580232,-2.184268236,0
1,1,0,2,0,1.180063128,1.293958902,2
0,1,0,2,1,0.442351252,-0.252750695,0
0,1,0,4,1,0.339507729,-0.768189728,0
1,0,1,3,1,0.368057549,-0.848371208,0
1,1,1,3,2,2.431215048,-0.945337653,1
0,1,0,2,1,-0.267399877,-1.620429158,0
1,1,0,1,0,-0.36659652,2.514541626,0
1,0,1,4,3,1.48165834,-2.82096076,0
0,1,0,1,0,-0.620765746,0.583114088,0
1,0,1,4,3,1.59366858,-2.947399616,0
0,1,0,4,1,2.824294329,-0.742032945,3
0,1,1,1,0,1.487538576,2.26522541,4
0,1,1,3,0,1.139073014,3.448698759,3
0,1,0,2,0,1.415821791,1.297202468,3
0,1,1,4,0,2.172077894,4.263185024,8
1,0,1,3,0,0.818082452,3.058596849,2
1,1,1,1,0,0.332590669,2.045859098,1
0,1,0,4,0,1.856842756,2.516795874,6
1,1,1,4,2,0.593688667,-1.977207899,0
0,1,1,2,1,0.061764006,1.269807458,0
1,1,0,4,0,1.984782338,0.824614167,5
0,1,1,4,1,1.963856339,0.03152037,3
0,1,0,3,1,3.72607255,0.701675057,31
0,1,1,2,1,0.349324912,-0.161479443,0
0,1,0,2,0,0.704055548,2.344917059,2
1,1,1,4,3,1.569243789,-4.469278812,0
0,1,1,2,1,0.781064868,-1.890136719,0
1,0,0,3,0,0.139555037,0.339156687,0
0,1,1,3,1,1.541620493,-1.531070232,0
1,1,0,1,0,0.071873553,1.305795789,0
0,1,0,2,0,0.746514857,-0.650594831,0
1,1,1,4,0,1.925082445,3.567077875,6
0,1,0,3,0,2.214212179,2.691571951,9
1,0,1,3,2,-0.599701524,-2.059751987,0
1,0,1,2,1,-2.107331038,0.141346171,0
0,1,1,1,0,-2.490455389,2.073759556,0
0,1,1,2,1,-0.070476264,-0.478490353,0
0,1,0,1,0,-0.233503744,0.152506366,0
0,1,0,2,0,2.148858786,-0.488574415,2
0,1,0,3,0,3.173754692,0.378390342,15
0,1,1,1,0,0.676705837,1.623785019,1
1,1,1,2,0,0.903368711,2.01538229,2
0,1,1,3,1,2.121471882,-0.091606267,3
1,1,1,1,0,-1.680656552,2.277235031,0
0,1,1,4,0,4.26848793,1.362295985,65
0,1,1,3,0,1.759671211,1.47816968,5
0,1,0,1,0,0.007159876,0.184564099,0
1,1,1,3,2,3.533810616,-3.252695322,0
0,1,0,4,1,1.902828455,-1.590401888,0
0,1,0,4,2,2.054314375,-3.139189243,0
1,1,0,1,0,0.132048607,2.244067192,1
0,1,1,4,1,2.844588757,-0.078207836,8
0,1,1,3,0,-0.150227517,2.496215105,0
0,1,1,3,2,0.377593964,-2.29437232,0
0,1,1,4,3,1.461001873,-3.943372011,0
0,1,1,3,0,0.951952934,2.606308937,2
0,1,1,2,1,1.531072855,1.537260294,4
1,1,0,4,0,1.716095209,1.826901793,5
0,1,0,2,0,2.242041826,2.398617029,9
0,1,0,4,2,3.389037609,-2.893302679,0
0,1,0,2,0,-0.457464665,3.17933321,0
0,1,1,2,0,-0.263669461,1.760868073,0
0,1,0,1,0,-0.71243757,1.177165627,0
1,1,1,2,0,3.053916931,2.469107866,21
0,1,0,1,0,-2.708276749,0.347330987,0
0,1,1,3,0,1.872051477,2.30796957,6
0,1,0,2,1,0.169749007,-0.835122049,0
1,0,1,2,0,-0.348856091,2.94145751,0
0,1,1,2,1,0.240219221,-0.403173774,0
1,1,0,3,1,2.40387702,-1.568528771,0
0,1,1,4,1,2.988574505,0.950103223,16
1,0,0,3,2,0.005257762,-3.463099957,0
0,1,1,3,2,0.400785357,-1.719052434,0
1,1,1,4,0,1.592312098,3.472146988,4
0,1,1,2,1,1.022531271,0.598669052,2
0,1,1,3,0,2.377341747,2.578616858,10
1,0,1,1,0,-2.112927198,1.63011241,0
0,1,1,1,0,-0.557507157,1.938125849,0
1,0,0,1,0,-1.276221037,0.145860225,0
1,0,1,2,0,1.060786009,2.973175526,2
1,1,1,2,0,0.409971446,1.287543416,1
0,1,0,1,0,1.472747684,1.001728415,3
0,1,1,3,1,1.122244954,-1.014991045,0
0,1,1,4,2,2.242376328,-2.386286736,0
0,1,1,2,0,3.163843393,1.296834946,21
0,1,0,2,1,-0.585306764,-2.07876277,0
0,1,0,2,0,-0.015607119,2.299016714,0
1,0,1,1,0,0.834488332,2.205511093,2
1,0,1,2,1,-1.268876076,1.570919514,0
0,1,1,4,1,2.757081985,-0.866619527,3
0,1,1,3,1,1.703949213,-1.154581547,0
0,1,1,4,0,3.765002489,1.189270258,38
1,1,1,4,3,2.719051123,-4.614192963,0
0,1,1,1,0,-0.154021844,2.46532011,0
0,1,0,1,0,-0.411525637,0.257135123,0
0,1,1,1,0,0.531122029,2.928965569,1
0,1,0,1,0,1.340306163,3.566372156,3
0,1,1,1,0,-1.562050104,1.406773925,0
0,1,0,2,0,0.225383952,2.220991135,1
1,1,0,4,2,4.502663612,-4.730084896,0
1,0,0,2,1,0.162199765,-1.125854254,0
0,1,0,4,2,3.047013521,-3.184262991,0
0,1,0,3,1,1.630753398,-2.707653284,0
0,1,1,4,2,1.983255029,0.573806643,5
0,1,0,4,2,3.877111435,-2.179812431,0
1,0,0,4,1,1.58475554,-1.289599061,0
0,1,0,3,0,1.701143265,0.005117925,2
1,1,1,2,1,-0.170604989,1.469863534,0
0,1,1,1,0,-0.49698019,0.957906127,0
0,1,0,2,1,1.218269944,-0.664241612,0
0,1,1,2,0,0.037536614,2.861773014,1
1,1,1,3,1,1.523244143,3.039572716,4
1,1,0,1,0,-0.907698154,0.611488819,0
0,1,1,3,2,2.331376553,-2.355525732,0
0,1,1,2,1,1.068086028,1.375056386,2
0,1,1,1,0,1.40126574,2.141049623,3
1,1,0,4,2,3.930421829,-2.74390316,0
0,1,0,3,1,0.196246982,-1.781073928,0
0,1,0,2,0,0.029527381,1.002204299,0
1,0,0,2,0,-0.766901433,-0.44208771,0
0,1,1,1,0,0.661188662,3.241333485,1
0,1,1,2,0,1.015074015,0.948959351,2
0,1,1,1,0,-1.046668053,0.760976613,0
0,1,1,3,0,1.9380548,2.159034252,6
0,1,1,2,0,1.724750519,0.927846849,4
0,1,1,2,0,0.602655232,3.57160902,1
0,1,1,4,2,2.413781643,-1.316399097,1
1,0,0,2,0,-1.20076859,1.057799816,0
0,1,1,3,1,1.963849306,-0.733001232,1
0,1,0,3,0,-0.291065693,1.315508246,0
1,1,1,2,0,-0.755235732,2.324208736,0
0,1,1,4,3,1.794859171,-5.625943661,0
0,1,1,2,1,-0.392648846,0.677275419,0
1,1,1,3,2,1.374640584,-2.595630169,0
1,1,1,2,1,0.828834116,-1.457115412,0
