WEEK,TREATMENT,DITCH,BINITENT,OLCHAETA,CAENHORA,CLOEDIPT,CHAOOBSC,GAMMPULE,LIBELLAE,AGDASPHR
12,0.9,4,2,236,19,40,2,0,0,0
12,0,5,7,57,130,348,7,1,0,0
12,44,6,9,75,1,84,1,0,0,0
12,6,7,6,15,36,82,8,0,0,0
12,0.1,8,6,49,89,235,4,1,0,0
12,44,9,71,58,0,12,3,0,0,0
12,0.9,10,38,6,248,111,7,0,0,0
12,0,11,0,40,89,171,5,7,0,0
12,6,12,105,58,13,45,7,0,0,0
15,0.1,1,11,162,50,15,4,1,0,0
15,0,2,0,27,52,19,7,2,0,0
15,0,3,57,561,296,17,3,2,0,1
15,0.9,4,4,8,99,24,4,0,7,0
15,0,5,0,119,30,297,7,8,0,0
15,44,6,12,523,1,33,2,0,0,0
15,6,7,2,70,5,26,7,0,0,0
15,0.1,8,21,93,15,28,5,3,0,0
15,44,9,58,27,0,77,3,0,0,0
15,0.9,10,24,3,15,60,3,0,0,0
15,0,11,4,1,25,108,6,11,0,0
15,6,12,135,185,5,3,12,0,1,0
19,0.1,1,27,98,171,134,7,1,1,0
19,0,2,0,191,641,105,7,0,0,9
19,0,3,72,213,317,461,1,2,0,0
19,0.9,4,5,102,209,108,5,0,0,20
19,0,5,1,539,264,295,20,5,0,0
19,44,6,7,67,0,64,4,0,0,6
19,6,7,3,646,13,97,10,0,0,0
19,0.1,8,15,109,26,138,4,4,1,0
19,44,9,27,30,15,247,3,0,2,5
19,0.9,10,6,156,97,160,4,0,0,32
19,0,11,0,14,49,170,14,8,0,3
19,6,12,13,134,15,33,15,0,0,6
24,0.1,1,5,158,144,65,4,0,0,0
24,0,2,0,278,610,131,7,0,0,18
24,0,3,15,379,1132,72,3,2,0,0
24,0.9,4,3,149,153,71,2,0,6,9
24,0,5,1,54,217,387,14,9,0,0
24,44,6,0,84,7,98,1,0,0,2
24,6,7,2,85,58,123,8,0,0,3
24,0.1,8,4,190,52,295,8,2,0,0
24,44,9,6,48,40,410,1,0,0,23
24,0.9,10,9,131,79,112,3,0,0,4
24,0,11,0,67,49,120,9,4,0,0
24,6,12,9,21,27,30,15,0,0,0
